Model,Strategy,Final_PnL,Transaction_Costs,Std_Dev
ABM,Black-Scholes,-10.006540237236294,7.410451151610074,
ABM,Leland,-9.71832466032643,5.689924245994195,
MC,Black-Scholes,-24.912935229183482,7.00018109483689,2.5391756525327125
MC,Leland,-23.88982449409662,6.020488893271098,0.9175745905452712
