k,dt,steps_per_year,A_leland,A_optimal,A_ml,BS_mean,BS_std,BS_tc,Leland_mean,Leland_std,Leland_tc,Opt_mean,Opt_std,Opt_tc,ML_mean,ML_std,ML_tc
0.005,0.003968253968253968,252,0.5066409894773702,0.5319730389512388,0.4444444444444445,-15.825381786264572,1.118043789889288,2.7808526479833438,-15.560053644377025,0.6074134056392232,2.5347492783725376,-15.549303080460485,0.6094863382057792,2.524782523093921,-15.587267134732558,0.61270527229572,2.559978597203892
0.01,0.003968253968253968,252,1.0132819789547405,1.0639460779024776,0.9292929292929294,-18.67051377634157,2.0034123570749482,5.54323879069775,-17.80804814839517,0.6766092133438735,4.712945560854867,-17.777999688208382,0.6811912235416807,4.684010740463765,-17.859713281172038,0.6826446691158751,4.762696648931228
0.015,0.003968253968253968,252,1.5199229684321107,1.6,1.6301827375880156,-21.548603353971362,2.9263756072429654,8.34378663451086,-19.82337755966354,0.7455898165491635,6.702066407166413,-19.766897422715573,0.7529397294962883,6.648318646035943,-19.74611284049249,0.7581203733142827,6.628538790339657
0.02,0.003968253968253968,252,2.026563957909481,1.8,2.0,-24.351730464800898,3.879496565195441,11.069734783322154,-21.68489067143449,0.7961065952705766,8.468306699618443,-21.862088343896943,0.8241065059149731,8.642423171624054,-21.704858176991937,0.795812042080479,8.487935732618737
