,mean_pnl,std_pnl,median_pnl,min_pnl,max_pnl,mean_tc,std_tc,ci_lower,ci_upper
BS,-146.1669466632748,0.0,-146.1669466632748,-146.1669466632748,-146.1669466632748,56.167896678878215,1.4453792906454277e-14,-146.1669466632748,-146.1669466632748
Leland,-99.74848203905336,2.890758581290855e-14,-99.74848203905339,-99.74848203905339,-99.74848203905339,38.15498979082169,0.0,-99.74848203905337,-99.74848203905334
Optimized,-114.66040761306898,1.4453792906454277e-14,-114.660407613069,-114.660407613069,-114.660407613069,45.301220888795655,2.1680689359681415e-14,-114.66040761306898,-114.66040761306898
ML,-114.02785034871252,0.0,-114.02785034871252,-114.02785034871252,-114.02785034871252,45.07176317997999,1.4453792906454277e-14,-114.02785034871252,-114.02785034871252
