,mean_pnl,std_pnl,median_pnl,min_pnl,max_pnl,mean_tc,std_tc,ci_lower,ci_upper
BS,-17.416947783605018,7.226896453227138e-15,-17.416947783605025,-17.416947783605025,-17.416947783605025,14.820875417432111,3.613448226613569e-15,-17.41694778360502,-17.416947783605014
Leland,-13.810777691954058,0.0,-13.810777691954058,-13.810777691954058,-13.810777691954058,9.699011727383258,1.8067241133067846e-15,-13.810777691954058,-13.810777691954058
Optimized,-14.189661797865005,5.420172339920354e-15,-14.189661797865,-14.189661797865,-14.189661797865,11.630277612960931,3.613448226613569e-15,-14.189661797865007,-14.189661797865003
ML,-14.146957140279824,0.0,-14.146957140279824,-14.146957140279824,-14.146957140279824,11.566120932077787,5.420172339920354e-15,-14.146957140279824,-14.146957140279824
