run_id,seed,BS_pnl,Leland_pnl,Optimized_pnl,ML_pnl,BS_tc,Leland_tc,Optimized_tc,ML_tc,BS_hedges,Leland_hedges,Optimized_hedges,ML_hedges
0,42,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
1,43,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
2,44,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
3,45,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
4,46,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
5,47,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
6,48,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
7,49,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
8,50,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
9,51,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
10,52,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
11,53,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
12,54,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
13,55,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
14,56,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
15,57,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
16,58,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
17,59,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
18,60,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
19,61,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
20,62,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
21,63,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
22,64,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
23,65,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
24,66,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
25,67,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
26,68,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
27,69,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
28,70,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
29,71,-146.1669466632748,-99.74848203905339,-114.660407613069,-114.02785034871252,56.16789667887823,38.15498979082169,45.301220888795676,45.071763179979975,139,124,131,131
