run_id,seed,BS_pnl,Leland_pnl,Optimized_pnl,ML_pnl,BS_tc,Leland_tc,Optimized_tc,ML_tc,BS_hedges,Leland_hedges,Optimized_hedges,ML_hedges
0,42,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
1,43,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
2,44,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
3,45,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
4,46,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
5,47,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
6,48,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
7,49,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
8,50,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
9,51,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
10,52,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
11,53,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
12,54,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
13,55,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
14,56,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
15,57,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
16,58,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
17,59,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
18,60,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
19,61,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
20,62,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
21,63,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
22,64,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
23,65,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
24,66,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
25,67,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
26,68,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
27,69,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
28,70,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
29,71,-17.416947783605025,-13.810777691954058,-14.189661797865,-14.146957140279824,14.820875417432115,9.699011727383256,11.630277612960935,11.566120932077782,95,93,99,99
