k,dt,steps_per_year,A_leland,A_optimal,A_ml,BS_mean,BS_std,BS_tc,Leland_mean,Leland_std,Leland_tc,Opt_mean,Opt_std,Opt_tc,ML_mean,ML_std,ML_tc
0.01,0.003968253968253968,252,1.0132819789547405,1.0639460779024776,1.0303030303030305,-18.670909250198356,2.0262762500863363,5.547509167650347,-17.803690461001203,0.6782961622662708,4.712815352749114,-17.77361687325597,0.6833714555719709,4.683767477819939,-17.793495135733178,0.6793380353644373,4.702968469293926
0.01,0.007936507936507936,126,0.7164985585730216,0.6448487027157195,0.6464646464646465,-17.195845960628606,1.6016481767334316,4.104454610296488,-16.716877173405454,0.9006881481044703,3.648026473902775,-16.754012461290127,0.9030804890729056,3.6835974754574017,-16.753155514512763,0.9028914294962316,3.6827770019309347
0.01,0.015873015873015872,63,0.5066409894773702,0.5319730389512388,0.4040404040404041,-16.103788703231366,1.4895847970500604,3.048683966124944,-15.873765757560463,1.2072131109772806,2.8115495735497147,-15.864495169292574,1.2099877385469924,2.802006422547448,-15.913078800230927,1.2084591381553458,2.8520344325574127
0.01,0.047619047619047616,21,0.2925093116572581,0.2632583804915323,0.10101010101010102,-15.031953083189237,2.028923002390952,2.0070180626369787,-14.940521924958773,1.9814042987045615,1.921154796243183,-14.948643480603558,1.9795302680892914,1.928759565710574,-14.997583741767173,1.9934556103227654,1.9746738941617397
